user,song,title,play_count,release,artist_name,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,play_count_log,danceability_diff,energy_diff,valence_diff,tempo_diff,acousticness_diff,instrumentalness_diff,speechiness_diff,liveness_diff
5640,4406,233,1,1455,2614,33,0.5270926,0.4928653,2,0.7776106,0,0.03159556,0.49225423,0.004184397,0.12133229,0.40222898,4.920032,0.6931472,0.10384741,0.122774705,0.19921102,112.152405,0.19307424,0.07866349,0.12339444,0.12910971
306,6396,6463,2,2121,2827,53,0.4780958,0.53649336,6,0.8401038,2,0.029947076,0.2585107,5.2684904e-06,0.11332869,0.40628165,4.962754,1.0986123,0.1528442,0.07914663,0.19515833,112.10969,0.040669303,0.08284262,0.12504293,0.13711332
1539,283,6270,1,4981,2979,55,0.22394323,0.6590732,1,0.8031879,2,0.10975087,2.5999661e-05,0.22289766,0.08148782,0.14184397,4.751096,0.6931472,0.40699676,0.0434332,0.45959604,112.32134,0.299154,0.14004979,0.045239136,0.16895418
929,1073,2003,1,1903,2378,54,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,0.6931472,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
7917,6228,1690,5,4014,3219,52,0.36741704,0.638691,8,0.86452544,2,0.03979747,0.0022075616,0.0018743668,0.34003732,0.6453901,5.1757994,1.7917595,0.26352295,0.023050996,0.04395007,111.89664,0.29697242,0.08097352,0.11519253,0.0895953
2426,6060,2457,3,1861,215,56,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,1.3862944,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
8363,2775,6401,1,522,1111,52,0.63020736,0.2821669,12,0.65229714,0,0.12044615,0.013607004,0.15400203,0.09467361,0.17831814,4.792629,0.6931472,0.0007326192,0.33347312,0.42312187,112.27981,0.285573,0.07115414,0.034543846,0.15576838
1921,1551,3879,1,3026,74,53,0.42068207,0.6119371,3,0.75122654,2,0.04008572,0.16551444,0.27254307,0.29565024,0.5572442,4.7958403,0.6931472,0.21025793,0.0037028748,0.044195827,112.276596,0.13366556,0.18969518,0.11490428,0.04520824
7447,3329,2453,2,253,490,53,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,1.0986123,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
2283,5537,3197,1,5333,2007,55,0.6688545,0.36810932,10,0.766054,0,0.04344256,0.1492817,0.0014184397,0.056758333,0.7852077,4.6728663,0.6931472,0.03791449,0.24753068,0.1837677,112.399574,0.14989829,0.081429444,0.11154744,0.19368367
3744,6370,2571,2,4838,380,56,0.5561813,0.5687171,0,0.80334055,2,0.026154958,0.08369756,0.0,0.41144717,0.6180344,4.8595486,1.0986123,0.07475867,0.046922896,0.016594447,112.21289,0.21548244,0.082847886,0.12883504,0.16100518
3992,6281,751,1,1543,3103,55,0.40945712,0.48612303,1,0.81007826,2,0.028295869,0.14496577,0.0,0.20538683,0.32522798,5.0041814,0.6931472,0.22148287,0.12951699,0.27621204,112.06826,0.15421423,0.082847886,0.12669413,0.04505517
745,3461,5537,1,3570,2688,0,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,0.6931472,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
7465,378,5610,1,3664,3271,51,0.38933572,0.62486833,0,0.84771377,2,0.03246719,0.0013890348,0.0,0.28442678,0.45694023,4.6055603,0.6931472,0.24160427,0.009228339,0.14449978,112.46688,0.29779097,0.082847886,0.12252281,0.03398478
8148,5037,1315,3,1179,2690,49,0.19309662,0.62111396,0,0.8098602,2,0.057513908,0.00012599207,0.5633232,0.2978799,0.2462006,4.5884714,1.3862944,0.43784338,0.005473978,0.3552394,112.48397,0.299054,0.4804753,0.097476095,0.0474379
6980,815,1254,2,4923,2945,51,0.50138116,0.45805755,0,0.7819498,2,0.029267497,0.4160753,0.0010233029,0.1007499,0.4113475,4.7830153,1.0986123,0.12955883,0.15758245,0.19009249,112.28943,0.11689529,0.081824586,0.1257225,0.1496921
244,5274,1908,1,3517,955,0,0.37637952,0.6450068,6,0.8926757,0,0.29416105,0.22234324,0.0,0.16720791,0.54711246,4.654151,0.6931472,0.25456047,0.029366806,0.054327536,112.41829,0.07683677,0.082847886,0.13917103,0.08323408
8125,4500,3400,2,2164,3012,32,0.43696377,0.6280752,9,0.721092,2,0.04526013,0.24607852,0.046909828,0.15956457,0.9787234,5.154037,1.0986123,0.19397622,0.012435184,0.3772834,111.9184,0.053101476,0.035938058,0.10972987,0.09087743
1537,3862,2559,1,3135,1410,57,0.46875286,0.5140205,0,0.8269772,0,0.0428679,0.0133110145,0.0,0.1007499,0.34245187,4.836964,0.6931472,0.16218716,0.10161948,0.2589881,112.23547,0.28586897,0.082847886,0.112122096,0.1496921
6211,580,5382,2,4095,2881,56,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,1.0986123,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
3017,5998,2893,2,4475,3280,53,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,1.0986123,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
2289,5409,5490,1,3458,1364,0,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,0.6931472,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
692,5473,2735,3,3959,1415,30,0.31918073,0.5110256,8,0.7808378,2,0.034980968,0.18979357,1.5197569e-06,0.2753564,0.8551165,4.6929703,1.3862944,0.31175926,0.1046144,0.2536765,112.37947,0.10938643,0.082846366,0.12000903,0.024914423
3830,6984,2085,3,605,1123,0,0.59332687,0.5624689,0,0.80262095,2,0.18148787,0.2554171,0.0,0.08222494,0.633232,4.882734,1.3862944,0.037613153,0.053171143,0.031792015,112.189705,0.04376289,0.082847886,0.026497876,0.16821706
1094,1542,5838,1,2896,2081,0,0.13190506,0.0015887372,11,0.0,2,0.040373895,0.67650956,0.99493414,0.07881118,0.05177305,4.4170437,0.6931472,0.49903494,0.6140513,0.54966694,112.655396,0.37732953,0.91208625,0.1146161,0.17163081
6772,3663,1799,2,2469,654,24,0.45488998,0.47187686,6,0.7329539,2,0.03237038,0.3750059,0.054407295,0.03979747,0.53090173,4.6506977,1.0986123,0.17605,0.14376312,0.070538275,112.421745,0.0758259,0.028440591,0.12261962,0.21064453
3895,6598,1326,1,4083,1363,53,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,0.6931472,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
3413,2396,2686,3,2659,1163,56,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,1.3862944,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
4153,2837,3706,1,4151,2146,0,0.27459684,0.0001529883,0,0.789756,2,0.08993211,0.06681717,0.7325228,0.31188676,0.078318134,4.6137137,0.6931472,0.35634318,0.61548704,0.5231219,112.458725,0.23236282,0.6496749,0.065057896,0.06144476
1091,1343,4478,1,1015,2575,52,0.45171237,0.61085194,9,0.8356774,2,0.18398684,0.32425505,0.0,0.67650956,0.88551164,4.613218,0.6931472,0.17922764,0.004788062,0.28407165,112.45922,0.025075052,0.082847886,0.028996836,0.42606753
5758,5999,5317,1,4600,1031,46,0.52650213,0.61842364,4,0.85414624,0,0.32063317,0.10165365,0.0,0.30380145,0.61499494,4.509749,0.6931472,0.104437895,0.0027836345,0.013554934,112.56269,0.19752635,0.082847886,0.16564317,0.053359453
5775,947,1245,1,3438,1767,55,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,0.6931472,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
6703,237,5148,1,1270,939,0,0.4644256,0.46774483,5,0.73747087,1,0.048628245,0.24711096,0.034433387,0.14703974,0.4880223,4.7444563,0.6931472,0.1665144,0.14789517,0.11341771,112.32799,0.05206903,0.0484145,0.106361754,0.10340226
