,user,song,title,play_count,release,artist_name,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0,5640,4406,233,1,1455,2614,33,0.5270925962298626,0.49286529838899784,4,0.7776106059614922,0,0.03159556158975056,0.4922542381805553,0.004184397163120568,0.12133228516752496,0.40222897669706187,4.920032019413337,1877
1,306,6396,6463,2,2121,2827,53,0.4780957991430718,0.5364933705145685,8,0.8401037918928936,2,0.029947076367952116,0.25851069515150105,5.268490374873354e-06,0.11332868530700317,0.4062816616008106,4.962753717036517,1338
2,1539,283,6270,1,4981,2979,55,0.2239432314847741,0.6590732002261939,1,0.8031878938531649,2,0.1097508639591192,2.599966200585855e-05,0.22289766970618036,0.08148781684626795,0.14184397163120568,4.751095703146295,3331
3,929,1073,2003,1,1903,2378,54,0.47132151045867887,0.49941072095069233,6,0.7297808595538693,1,0.03505918136380127,0.2423234844628984,0.06970884295845999,0.1338138527289111,0.5319858156028369,4.790794366445092,5458
4,7917,6228,1690,5,4014,3219,52,0.3674170404706345,0.6386909947638865,10,0.8645254137502453,2,0.039797469874066085,0.002207561542000583,0.0018743667679837895,0.3400373027857091,0.6453900709219859,5.175799388724713,4061
5,2426,6060,2457,3,1861,215,56,0.47132151045867887,0.49941072095069233,6,0.7297808595538693,1,0.03505918136380127,0.2423234844628984,0.06970884295845999,0.1338138527289111,0.5319858156028369,4.790794366445092,5458
6,8363,2775,6401,1,522,1111,52,0.6302073807860712,0.28216689176367077,3,0.6522971588059571,0,0.12044615307586716,0.013607003406216902,0.1540020263424519,0.09467361360268103,0.17831813576494426,4.792628526887198,4860
7,1921,1551,3879,1,3026,74,53,0.42068207391302476,0.611937125134402,5,0.7512265323477464,2,0.04008572353928564,0.16551443847757338,0.27254305977710236,0.2956502421009578,0.5572441742654509,4.795840131144217,2138
8,7447,3329,2453,2,253,490,53,0.47132151045867887,0.49941072095069233,6,0.7297808595538693,1,0.03505918136380127,0.2423234844628984,0.06970884295845999,0.1338138527289111,0.5319858156028369,4.790794366445092,5458
9,2283,5537,3197,1,5333,2007,55,0.6688544879909007,0.36810932156439546,12,0.7660539456182812,0,0.04344255784283673,0.14928170271575444,0.0014184397163120568,0.056758333818608876,0.7852077001013172,4.672866216940743,5266
10,3744,6370,2571,2,4838,380,56,0.5561813254867879,0.5687171021817683,0,0.8033405289897734,2,0.02615495747685121,0.08369755902156674,0.0,0.4114471797857118,0.6180344478216819,4.859548803730605,1573
11,3992,6281,751,1,1543,3103,55,0.40945712937770185,0.48612301112561884,1,0.8100782800200605,2,0.028295869154847303,0.14496577025018573,0.0,0.20538682972495073,0.3252279635258359,5.004181177689791,5096
12,745,3461,5537,1,3570,2688,0,0.47132151045867887,0.49941072095069233,6,0.7297808595538693,1,0.03505918136380127,0.2423234844628984,0.06970884295845999,0.1338138527289111,0.5319858156028369,4.790794366445092,5458
13,7465,378,5610,1,3664,3271,51,0.3893357261782807,0.6248683398066509,0,0.8477137437038006,2,0.032467190137501496,0.0013890348442741173,0.0,0.2844267797311083,0.4569402228976697,4.6055601099578585,2645
