,user,song,title,play_count,release,artist_name,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,user_encoded,song_encoded,title_encoded,release_encoded,artist_name_encoded,year_encoded,key_encoded,mode_encoded
0,a4f803a42f03018ccfa4c8a27e330df40be8b9b9,SOPSOHT12A67AE0235,Almaz,1,Every Kind Of Mood,Randy Crawford,1986.0,0.5270925962298626,0.49286529838899784,2.0,0.7776106059614922,0.0,0.03159556158975056,0.4922542381805553,0.004184397163120568,0.12133228516752496,0.40222897669706187,4.920032019413337,5640,4406,233,1455,2614,33,2,0
1,0878045f0dc2968f0403a26e6fd8bda99d19d0db,SOXIGHW12A6D4F7245,Weak In The Knees,2,If Your Memory Serves You Well,Serena Ryder,2006.0,0.4780957991430718,0.5364933705145685,5.0,0.8401037918928936,1.0,0.029947076367952116,0.25851069515150105,5.268490374873354e-06,0.11332868530700317,0.4062816616008106,4.962753717036517,306,6396,6463,2121,2827,53,6,2
2,2bd8c53931b30461ecf79469c12099a5e25f6618,SOAZTAD12A8C14494A,Until We're Dead,1,Until We're Dead,Star Fucking Hipsters,2008.0,0.2239432314847741,0.6590732002261939,1.0,0.8031878938531649,1.0,0.1097508639591192,2.599966200585855e-05,0.22289766970618036,0.08148781684626795,0.14184397163120568,4.751095703146295,1539,283,6270,4981,2979,55,1,2
3,1adcd0137fabfe2c9b2828caf5b1c95bf7994337,SODTEIO12A8AE46F47,Gas Can Row,1,Head Home,O'Death,2007.0,0.47968164579700673,0.47609131164846075,4.24,0.7209040361091124,0.71,0.03504759471741111,0.24104128474566364,0.07631247537993921,0.14169138415248422,0.4935471124620059,4.733681863396507,929,1073,2003,1903,2378,54,5,1
4,e8a55ac62f27b90294c126358ef5409b6a341fcd,SOWSEEJ12AB01893F4,Everything Looks Beautiful On Video,5,Stop The Future,The Epoxies,2005.0,0.3674170404706345,0.6386909947638865,7.0,0.8645254137502453,1.0,0.039797469874066085,0.002207561542000583,0.0018743667679837895,0.3400373027857091,0.6453900709219859,5.175799388724713,7917,6228,1690,4014,3219,52,8,2
5,474104a92735681e39473ea3578d03d671be7351,SOWDQJL12A8C14530B,Hot Mess (Album Version),3,Guilty Pleasure,Ashley Tisdale,2009.0,0.47968164579700673,0.47609131164846075,4.24,0.7209040361091124,0.71,0.03504759471741111,0.24104128474566364,0.07631247537993921,0.14169138415248422,0.4935471124620059,4.733681863396507,2426,6060,2457,1861,215,56,5,1
6,f6262aa71a3cd3bae08a870a0589f25d80e1c8ac,SOJTSOG12A8C13D673,Wandering Eye,1,Based on a True Story,Fat Freddy's Drop,2005.0,0.6302073807860712,0.28216689176367077,11.0,0.6522971588059571,0.0,0.12044615307586716,0.013607003406216902,0.1540020263424519,0.09467361360268103,0.17831813576494426,4.792628526887198,8363,2775,6401,522,1111,52,12,0
7,37fd385c30775a1a575f12c94154dadf367e39c5,SOFLDEW12AB018407E,Never Content,1,No Way Down,Air France,2006.0,0.42068207391302476,0.611937125134402,3.0,0.7512265323477464,1.0,0.04008572353928564,0.16551443847757338,0.27254305977710236,0.2956502421009578,0.5572441742654509,4.795840131144217,1921,1551,3879,3026,74,53,3,2
8,db481d6784e899da104cd05e992c4f89d3c8a3ca,SOLTIBL12AB0182E88,Hosea's Wife,2,Albertine,Brooke Fraser,2006.0,0.47968164579700673,0.47609131164846075,4.24,0.7209040361091124,0.71,0.03504759471741111,0.24104128474566364,0.07631247537993921,0.14169138415248422,0.4935471124620059,4.733681863396507,7447,3329,2453,253,490,53,5,1
9,4263c0810869a378925d0aa1a54c9d97835e9c71,SOUEAAS12A8C133106,Let It Fall,1,Youth Novels,Lykke Li,2008.0,0.6688544879909007,0.36810932156439546,9.0,0.7660539456182812,0.0,0.04344255784283673,0.14928170271575444,0.0014184397163120568,0.056758333818608876,0.7852077001013172,4.672866216940743,2283,5537,3197,5333,2007,55,10,0
