user,song,title,play_count,release,artist_name,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,user_encoded,song_encoded,title_encoded,release_encoded,artist_name_encoded,year_encoded,key_encoded,mode_encoded,play_count_log,danceability_diff,energy_diff,valence_diff,tempo_diff,acousticness_diff,instrumentalness_diff,speechiness_diff,liveness_diff
a4f803a42f03018ccfa4c8a27e330df40be8b9b9,SOPSOHT12A67AE0235,Almaz,1,Every Kind Of Mood,Randy Crawford,1986.0,0.5270926,0.4928653,2.0,0.7776106,0.0,0.03159556,0.49225423,0.004184397,0.12133229,0.40222898,4.920032,5640,4406,233,1455,2614,33,2,0,0.6931472,0.10384741,0.122774705,0.19921102,112.152405,0.19307424,0.07866349,0.12339444,0.12910971
0878045f0dc2968f0403a26e6fd8bda99d19d0db,SOXIGHW12A6D4F7245,Weak In The Knees,2,If Your Memory Serves You Well,Serena Ryder,2006.0,0.4780958,0.53649336,5.0,0.8401038,1.0,0.029947076,0.2585107,5.2684904e-06,0.11332869,0.40628165,4.962754,306,6396,6463,2121,2827,53,6,2,1.0986123,0.1528442,0.07914663,0.19515833,112.10969,0.040669303,0.08284262,0.12504293,0.13711332
2bd8c53931b30461ecf79469c12099a5e25f6618,SOAZTAD12A8C14494A,Until We're Dead,1,Until We're Dead,Star Fucking Hipsters,2008.0,0.22394323,0.6590732,1.0,0.8031879,1.0,0.10975087,2.5999661e-05,0.22289766,0.08148782,0.14184397,4.751096,1539,283,6270,4981,2979,55,1,2,0.6931472,0.40699676,0.0434332,0.45959604,112.32134,0.299154,0.14004979,0.045239136,0.16895418
1adcd0137fabfe2c9b2828caf5b1c95bf7994337,SODTEIO12A8AE46F47,Gas Can Row,1,Head Home,O'Death,2007.0,0.47968164,0.47609133,4.24,0.72090405,0.71,0.035047594,0.24104129,0.076312475,0.14169139,0.4935471,4.7336817,929,1073,2003,1903,2378,54,5,1,0.6931472,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062
e8a55ac62f27b90294c126358ef5409b6a341fcd,SOWSEEJ12AB01893F4,Everything Looks Beautiful On Video,5,Stop The Future,The Epoxies,2005.0,0.36741704,0.638691,7.0,0.86452544,1.0,0.03979747,0.0022075616,0.0018743668,0.34003732,0.6453901,5.1757994,7917,6228,1690,4014,3219,52,8,2,1.7917595,0.26352295,0.023050996,0.04395007,111.89664,0.29697242,0.08097352,0.11519253,0.0895953
474104a92735681e39473ea3578d03d671be7351,SOWDQJL12A8C14530B,Hot Mess (Album Version),3,Guilty Pleasure,Ashley Tisdale,2009.0,0.47968164,0.47609133,4.24,0.72090405,0.71,0.035047594,0.24104129,0.076312475,0.14169139,0.4935471,4.7336817,2426,6060,2457,1861,215,56,5,1,1.3862944,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062
f6262aa71a3cd3bae08a870a0589f25d80e1c8ac,SOJTSOG12A8C13D673,Wandering Eye,1,Based on a True Story,Fat Freddy's Drop,2005.0,0.63020736,0.2821669,11.0,0.65229714,0.0,0.12044615,0.013607004,0.15400203,0.09467361,0.17831814,4.792629,8363,2775,6401,522,1111,52,12,0,0.6931472,0.0007326192,0.33347312,0.42312187,112.27981,0.285573,0.07115414,0.034543846,0.15576838
37fd385c30775a1a575f12c94154dadf367e39c5,SOFLDEW12AB018407E,Never Content,1,No Way Down,Air France,2006.0,0.42068207,0.6119371,3.0,0.75122654,1.0,0.04008572,0.16551444,0.27254307,0.29565024,0.5572442,4.7958403,1921,1551,3879,3026,74,53,3,2,0.6931472,0.21025793,0.0037028748,0.044195827,112.276596,0.13366556,0.18969518,0.11490428,0.04520824
db481d6784e899da104cd05e992c4f89d3c8a3ca,SOLTIBL12AB0182E88,Hosea's Wife,2,Albertine,Brooke Fraser,2006.0,0.47968164,0.47609133,4.24,0.72090405,0.71,0.035047594,0.24104129,0.076312475,0.14169139,0.4935471,4.7336817,7447,3329,2453,253,490,53,5,1,1.0986123,0.15125835,0.13954869,0.107892886,112.33876,0.058138717,0.00653541,0.119942404,0.10875062
4263c0810869a378925d0aa1a54c9d97835e9c71,SOUEAAS12A8C133106,Let It Fall,1,Youth Novels,Lykke Li,2008.0,0.6688545,0.36810932,9.0,0.766054,0.0,0.04344256,0.1492817,0.0014184397,0.056758333,0.7852077,4.6728663,2283,5537,3197,5333,2007,55,10,0,0.6931472,0.03791449,0.24753068,0.1837677,112.399574,0.14989829,0.081429444,0.11154744,0.19368367
6dc872c56837b90550e15d5d4f91f1a0ceccced3,SOXFPND12AB017C9D1,I Gotta Feeling,2,Todo Éxitos 2009,Black Eyed Peas,2009.0,0.5561813,0.5687171,0.0,0.80334055,1.0,0.026154958,0.08369756,0.0,0.41144717,0.6180344,4.8595486,3744,6370,2571,4838,380,56,0,2,1.0986123,0.07475867,0.046922896,0.016594447,112.21289,0.21548244,0.082847886,0.12883504,0.16100518
74b30522f2cb817b3fdaaa6aacd2a0f8771cef22,SOWYFFH12AAF3B4C65,Breathe,1,Fearless,Taylor Swift / Colbie Caillat,2008.0,0.40945712,0.48612303,1.0,0.81007826,1.0,0.028295869,0.14496577,0.0,0.20538683,0.32522798,5.0041814,3992,6281,751,1543,3103,55,1,2,0.6931472,0.22148287,0.12951699,0.27621204,112.06826,0.15421423,0.082847886,0.12669413,0.04505517
