user_id,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_minutes,track_name_preprocessed,playlist_name_sentiment,track_name_sentiment,intensity_zone,intensity_zone_encoded,cluster,affinity_score
0,0hv6ku4431kPrjbpBBspw3,Animals - Original Mix,6098,5,0N5QcojgdA6aP9oQ7yYG9A,1148,2013-07-01,gym melbourne house,5BqOZpVEqRDfZScvW1QUyA,0,18,0.675,0.868,1,-6.36,0.0392,0.00107,0.715,0.374,0.0376,128.007,5.07,animals original mix,0.0,0.375,Zone 4 (Hard),3,10,0.286999974658907
0,6uYAPqxP69zfpCbsTHXgiz,Cater 2 U,2462,62,0b6ivSFfDs38MG7aLn9rvO,4221,2004-11-16,hip hop rnb,0Ar0Ng9DlAWZtSPBvOQgOa,3,9,0.605,0.584,11,-7.043,0.197,0.286,0.0,0.235,0.464,125.802,4.09,cater u,0.0,0.0,Zone 3 (Moderate),2,14,0.5042769917548429
0,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,1083,68,5ebh0MxkqELmk50xHj2b4k,2079,1982-01-01,hard rock cafe,55ybnG2z8rpTIerRfnCsw6,5,7,0.673,0.814,9,-5.411,0.0367,0.0133,0.00293,0.343,0.728,147.193,4.2,white wedding pt,-0.2916666666666667,0.0,Zone 5 (Maximum),4,0,0.3958547754213247
0,2vX03yHcVtFUg2ZMuzhLhS,Outlaw - Original Mix,5252,0,7jV5akfXEXsoNsqrekDCyX,12116,2014-04-21,latin village,3JcJCsvBnRsA6oc7eUYDSB,1,11,0.557,0.979,6,-4.254,0.0489,0.0013,0.834,0.0483,0.856,127.998,4.81,outlaw original mix,0.0,0.375,Zone 4 (Hard),3,10,0.28510714180730884
0,38LrhW3eQSt3cK88dkvl5e,Misty Night Cruising,5066,33,24sd1ZTrjjabj0A54XK0RP,11054,1984-12-21,city pop シティーポップ,3j2osvmecEao5nmo9jZ5df,5,0,0.587,0.977,10,-3.589,0.0711,0.0353,4.77e-06,0.536,0.519,146.518,4.46,misty night cruising,0.0,0.0,Zone 5 (Maximum),4,0,0.2927751038662464
0,5Yp8d1wlkpup010VvKFEP2,Catch & Release - Deepend Remix Extended Version,6162,3,6nXdrQwZA9LnTLxIAD8smC,2990,2015-09-18,tropical morning,0vbtbmyihyvl2MVYrdKdGw,1,22,0.852,0.528,1,-8.159,0.0556,0.241,0.00624,0.0291,0.203,104.997,4.5,catch release deepend remix extended version,0.0,0.0,Zone 2 (Light),1,14,0.28865970144742303
0,297rZsBEjFw9d0Gl3iBLnd,Goodie Bag,8816,45,31u58iuxrUOJeKJj4SKqOl,6544,2017-11-05,ultimate indie presents best indie tracks,37i9dQZF1DWTHM4kX49UKs,3,9,0.701,0.529,7,-12.242,0.147,0.82,0.00113,0.249,0.577,138.216,2.44,goodie bag,0.25,0.0,Zone 4 (Hard),3,14,0.30840493169223987
0,6ftZKIYKzEZBBGCKK1SCGX,Whoopedoo - Varrick Frost Remix,880,21,3QAHeoozh7V7vEkALI0iZT,18802,2019-07-26,electro swing top,5M7xLCQTYJL0lbKIrUn3a4,0,4,0.924,0.8,2,-4.311,0.0578,0.11,0.71,0.0879,0.294,127.993,2.78,whoopedoo varrick frost remix,0.5,0.0,Zone 4 (Hard),3,10,0.34915865199773827
0,31jM1k905s5TpVflu5KH2d,PYRMYD,4113,44,0rW2a2HLtbXcf0wu8CHjFb,12231,2018-09-27,arabic trap,37i9dQZF1DXcC6YLqj8ET8,4,21,0.468,0.606,1,-6.265,0.138,0.21,0.0,0.221,0.54,133.352,2.81,pyrmyd,0.0,0.0,Zone 4 (Hard),3,14,0.7358532544473956
0,5RsHNGJRuEpWPPt32d6Ewp,Belong,10203,24,4q2YItx7gks0iDRmKiGWah,1922,2019-11-08,big room edm,3S03NWbWkrR1e7DPH9rf9Z,0,1,0.742,0.849,0,-6.339,0.0925,0.00313,0.854,0.111,0.163,132.062,2.85,belong,0.0,0.0,Zone 4 (Hard),3,10,0.33224714208575895
0,1hf823Dtg12gHo3d2R6Ne8,Nonno Hollywood,2944,50,1Ehq0w6zLcZAM0CzcKocI6,11560,2019-02-06,musica italiana playlist pop canzoni italiane,6kVFIQBhLT4003iw2WWEv1,3,9,0.622,0.56,7,-5.256,0.0562,0.159,0.0,0.139,0.334,126.031,3.78,nonno hollywood,0.0,0.0,Zone 3 (Moderate),2,14,0.579137169513006
0,4gB61mP4tNChn4LgfquMhi,Thru These Tears,5200,8,66Jli9l9UHCoiumUK85Y5z,17156,2018-07-17,indie poptimism,21nxmipQe5xtXoHHPaYfnY,2,10,0.711,0.517,11,-7.695,0.0391,0.154,0.0,0.149,0.294,119.945,3.41,thru tears,0.0,0.0,Zone 3 (Moderate),2,14,0.45778756207292554
