song,title,release,artist_name,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,song_encoded,title_encoded,release_encoded,artist_name_encoded,year_encoded,key_encoded,mode_encoded,play_count
SOAAEHR12A6D4FB060,Slaves & Bulldozers,Badmotorfinger,Soundgarden,1991.0,0.3893357261782807,0.5486992761940722,0.0,0.8103617452737619,1.0,0.0330478540462003,3.8599255039170265e-05,0.0021580547112462,0.2662030407746567,0.2178318135764944,4.882657972832162,0,5079,502,2960,38,0,2,1
SOAAEJQ12A8C1437EF,Misguided Angel,Best Of Cowboy Junkies,Cowboy Junkies,1988.0,0.3618614706260324,0.193096629961913,7.0,0.5181090687076164,1.0,0.0356566772080346,0.4466070514393395,1.175278622087133e-05,0.1257512053055603,0.1975683890577508,4.909996944773758,1,3663,575,716,35,8,2,1
SOAALWN12A6D4F7FDA,Stay Awhile,Classic,Dusty Springfield,1964.0,0.3435897043900769,0.5738004229273791,2.0,0.8288305968033841,1.0,0.0473605713598375,0.4034631054374913,0.0,0.1814878760453772,0.7244174265450861,4.885918273836943,2,5299,896,969,11,2,2,1
SOAATLI12A8C13E319,Love Don't Live Here Anymore,Rhino Hi-Five: Rose Royce,Rose Royce,1978.0,0.4246139269469253,0.2326977641190214,11.0,0.5161466169512221,0.0,0.0674717151150126,0.6064993738342731,0.000790273556231,0.1016536537264998,0.6565349544072949,4.431364268002341,3,3376,3563,2731,25,12,0,6
SOABGQW12AB017CFB2,Up Side Down (Explicit),Full Circle,Drowning Pool,2007.0,0.4796816457970067,0.4760913116484607,4.24,0.7209040361091124,0.71,0.0350475947174111,0.2410412847456636,0.0763124753799392,0.1416913841524842,0.4935471124620059,4.733681863396507,4,6284,1691,961,54,5,1,1
SOABGZY12AB018B950,These Sonnets Of Our Lives,Lay Waste The Poets,Inked In Blood,2006.0,0.2231435513142097,0.6429059641231986,7.0,0.8671202110725889,1.0,0.1881379421153944,0.0003889243591155,0.0,0.288181947493432,0.4062816616008106,5.059939611780399,5,5952,2430,1452,53,8,2,1
SOABLAF12AB018E1D9,Lesson Learned,Black Gives Way To Blue,Alice In Chains,2009.0,0.3646431135879092,0.6683420616409741,1.0,0.8629990623841608,1.0,0.0519280928603591,9.26995703381553e-06,0.0078318135764944,0.1097508639591192,0.3272543059777102,4.691513006210108,6,3194,626,109,56,1,2,1
SOABNLP12A6D4F87F4,Mass Appeal (Explicit),Full Clip: A Decade Of Gang Starr,Gang Starr,0.0,0.5916680116100914,0.5927742064131581,10.0,0.8173175464992041,0.0,0.2239432314847741,0.0183309566847234,0.1671732522796352,0.1124354293297881,0.60790273556231,4.575030515075,7,3554,1692,1232,0,11,0,3
SOABNPW12A6D4FC9B5,The Canals Of Our City,The Gulag Orkestar,Beirut,2005.0,0.1510028735365274,0.3235317253454781,9.0,0.7186934432306317,0.0,0.0314986670593709,0.6871291082343823,0.7750759878419453,0.1213322851675249,0.1955420466058764,5.063670403975397,8,5641,4431,307,52,10,0,2
SOABOHM12AB018509C,Public Service Announcement (Interlude),The Black Album,Jay-Z,2003.0,0.3688011237365729,0.6729444732424258,1.0,0.9174025860753144,1.0,0.4818086746954981,0.3148107398400335,4.14387031408308e-06,0.4007875185570533,0.4488348530901723,5.181923989868189,9,4466,4272,1543,50,1,2,11
