user,song,title,play_count,release,artist_name,year,genres,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
777b8cba4e97e0d7b80acbee4efafe5111fb71f2,SOAMUGR12AF729BE88,I Am Not Ashamed,1,LIVE...We Come Rejoicing,The Brooklyn Tabernacle Choir,2002,classic praise,5.0,-14.4,1.0,0.0382,0.823,0.0,0.967,0.212,136.67
aa0c302dcd6cb2b41af16cbffb637094ab566670,SOAMUID12A8C140A44,Si La Vie M'A Mis Là,1,Grain De Sable,Tryo,0,"chanson, chanson virale, french pop, french reggae, french rock",4.0,-8.399,0.0,0.0829,0.472,0.000897,0.131,0.617,121.016
97158fff6e0312eba78c833dd336f0b17640b9a1,SOAMUID12A8C140A44,Si La Vie M'A Mis Là,1,Grain De Sable,Tryo,0,"chanson, chanson virale, french pop, french reggae, french rock",4.0,-8.399,0.0,0.0829,0.472,0.000897,0.131,0.617,121.016
3e47c946ad977c4038d948a9e00ede6368618fea,SOAMUID12A8C140A44,Si La Vie M'A Mis Là,1,Grain De Sable,Tryo,0,"chanson, chanson virale, french pop, french reggae, french rock",4.0,-8.399,0.0,0.0829,0.472,0.000897,0.131,0.617,121.016
4913a262601f7dd8d94b5e89bcf21cdf9f41efac,SOAMUID12A8C140A44,Si La Vie M'A Mis Là,1,Grain De Sable,Tryo,0,"chanson, chanson virale, french pop, french reggae, french rock",4.0,-8.399,0.0,0.0829,0.472,0.000897,0.131,0.617,121.016
c7928907a9fc1d2e168a0f9ed580f9b55a4f30c4,SOAMUID12A8C140A44,Si La Vie M'A Mis Là,1,Grain De Sable,Tryo,0,"chanson, chanson virale, french pop, french reggae, french rock",4.0,-8.399,0.0,0.0829,0.472,0.000897,0.131,0.617,121.016
ba773d7cdb0f8139fe7920d82e70f65979b0b593,SOAMVKH12AC468D147,Dona Cila,1,Maria Gadú,Maria Gadú,2009,"mpb, nova mpb, umbanda",0.0,-10.506,1.0,0.0321,0.701,4.34e-05,0.121,0.249,86.938
8d777c3be1617f93fed40c177e6c4ac9a28681f8,SOAMVKH12AC468D147,Dona Cila,1,Maria Gadú,Maria Gadú,2009,"mpb, nova mpb, umbanda",0.0,-10.506,1.0,0.0321,0.701,4.34e-05,0.121,0.249,86.938
dac5d2209783766cc9d91ea9b8474e026647b143,SOAMVKH12AC468D147,Dona Cila,1,Maria Gadú,Maria Gadú,2009,"mpb, nova mpb, umbanda",0.0,-10.506,1.0,0.0321,0.701,4.34e-05,0.121,0.249,86.938
31ecf9fd6bc751c79cb12662e15723bffadd3e47,SOAMVKH12AC468D147,Dona Cila,1,Maria Gadú,Maria Gadú,2009,"mpb, nova mpb, umbanda",0.0,-10.506,1.0,0.0321,0.701,4.34e-05,0.121,0.249,86.938
7d08d14f1744885283b9d0873633222bc234a46c,SOAMWAW12AB0183989,Janela,1,Babado Novo / O Diário de Claudinha,Babado Novo,2005,axe,9.0,-6.914,1.0,0.0804,0.172,0.0,0.155,0.772,133.83
b82566a9012339e74e69e7cbc51e34d79929e788,SOAMWBB12A8C1320A6,No Problem (Explicit Version),1,The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,Lil Scrappy,0,,,,,,,,,,
e12728a15ea36cabdc20f13236fa2a2ef9968588,SOAMWBB12A8C1320A6,No Problem (Explicit Version),1,The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,Lil Scrappy,0,,,,,,,,,,
c88adc46238365b131d8e2401e9f38bae4350ec0,SOAMWBB12A8C1320A6,No Problem (Explicit Version),1,The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,Lil Scrappy,0,,,,,,,,,,
64141b5aee66a2608baea9cdc33fdd61653aa5b4,SOAMWBB12A8C1320A6,No Problem (Explicit Version),1,The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,Lil Scrappy,0,,,,,,,,,,
42670c31ed9c1fe6edf9dd6e7713b1a08a9a7f52,SOAMWDX12A58A7B898,This Bitter Pill,1,The Places You Have Come To Fear The Most,Dashboard Confessional,2001,"emo, neon pop punk, pop punk, pop rock",6.0,-9.219,1.0,0.0251,0.643,0.0,0.115,0.39,63.33
737d63db9b6d36353ed2c77f9653df9cc6b2339b,SOAMWDX12A58A7B898,This Bitter Pill,1,The Places You Have Come To Fear The Most,Dashboard Confessional,2001,"emo, neon pop punk, pop punk, pop rock",6.0,-9.219,1.0,0.0251,0.643,0.0,0.115,0.39,63.33
3dcbebbe4ec0e2b0833f7f71a9d53fbba9cc1e19,SOAMWDX12A58A7B898,This Bitter Pill,1,The Places You Have Come To Fear The Most,Dashboard Confessional,2001,"emo, neon pop punk, pop punk, pop rock",6.0,-9.219,1.0,0.0251,0.643,0.0,0.115,0.39,63.33
f4c0e45e1c36a94af668a6350c462ee75e542461,SOAMWDX12A58A7B898,This Bitter Pill,1,The Places You Have Come To Fear The Most,Dashboard Confessional,2001,"emo, neon pop punk, pop punk, pop rock",6.0,-9.219,1.0,0.0251,0.643,0.0,0.115,0.39,63.33
173a68cd31dec0699bb1723ed8697be5c4f7ec4e,SOAMWDX12A58A7B898,This Bitter Pill,1,The Places You Have Come To Fear The Most,Dashboard Confessional,2001,"emo, neon pop punk, pop punk, pop rock",6.0,-9.219,1.0,0.0251,0.643,0.0,0.115,0.39,63.33
0b2f26069bfceb9327fee768c061cfba09116dec,SOAMWDX12A58A7B898,This Bitter Pill,1,The Places You Have Come To Fear The Most,Dashboard Confessional,2001,"emo, neon pop punk, pop punk, pop rock",6.0,-9.219,1.0,0.0251,0.643,0.0,0.115,0.39,63.33
71cfcfe0f5d1cbc25a97177b40378f8623c452b4,SOAMWDX12A58A7B898,This Bitter Pill,1,The Places You Have Come To Fear The Most,Dashboard Confessional,2001,"emo, neon pop punk, pop punk, pop rock",6.0,-9.219,1.0,0.0251,0.643,0.0,0.115,0.39,63.33
07fc5fe22685faffa7dc093afc288b0f45931453,SOAMWGB12A6D4FC255,Bad Start,1,Analog Worms Attack,Mr Oizo,1999,filter house,11.0,-8.806,0.0,0.394,0.0509,0.777,0.286,0.164,90.097
c3144a2789e4180d3ee95003ab187e07a2cf5a2e,SOAMWGB12A6D4FC255,Bad Start,1,Analog Worms Attack,Mr Oizo,1999,filter house,11.0,-8.806,0.0,0.394,0.0509,0.777,0.286,0.164,90.097
7329525c6cb7bc1bbe55f765ebed8c91e36a5c5e,SOAMWGE12A8C1336C7,A Walk In The Sun (Stereo),1,It Ain't Me Babe,The Turtles,1965,"bubblegum pop, classic rock, folk rock, psychedelic rock, rock-and-roll, rockabilly",5.0,-11.382,1.0,0.0356,0.0196,3.63e-06,0.0711,0.937,173.717
c8825b338990b7fb6078626fba77e1ce884f9651,SOAMWJI12A8C139B29,Baby_ It's Cold Outside,1,ReJoyce  The Christmas Album,Jessica Simpson duet with Nick Lachey,0,,,,,,,,,,
db5c77fdee0503cc10b4eb3c30e0f291eb2ec494,SOAMWKA12AB018619B,Resolve!,1,Addicted,Devin Townsend Project,2009,"avant-garde metal, canadian metal, progressive metal, vancouver metal",11.0,-5.775,0.0,0.0642,1.13e-05,0.12,0.793,0.471,137.04
